1,Iceland,アイスランド,1000
2,Ireland,アイルランド,1000
3,Azerbaijan,アゼルバイジャン,1000
4,Afghanistan,アフガニスタン,1000
5,united states of america,アメリカ合衆国,2
6,United States Virgin Islands,アメリカ領ヴァージン諸島,1000
7,American Samoa,アメリカ領サモア,1000
8,United Arab Emirates,アラブ首長国連邦,1000
9,Algeria,アルジェリア,1000
10,Argentina,アルゼンチン,1000
11,Aruba,アルバ,1000
12,Albania,アルバニア,1000
13,Armenia,アルメニア,1000
14,Anguilla,アンギラ,1000
15,Angola,アンゴラ,1000
16,Antigua and Barbuda,アンティグア・バーブーダ,1000
17,Andorra,アンドラ,1000
18,Yemen,イエメン,1000
19,united kingdom,イギリス,6
20,British Indian Ocean Territory,イギリス領インド洋地域,1000
21,British Virgin Islands,イギリス領ヴァージン諸島,1000
22,Israel,イスラエル,1000
23,Italy,イタリア,4
24,Iraq,イラク,1000
25,Iran (Islamic Republic of Iran),イラン（イラン・イスラム共和国）,1000
26,India,インド,1000
27,Indonesia,インドネシア,1000
28,Wallis and Futuna,ウォリス・フツナ,1000
29,Uganda,ウガンダ,1000
30,Ukraine,ウクライナ,1000
31,Uzbekistan,ウズベキスタン,1000
32,Uruguay,ウルグアイ,1000
33,Ecuador,エクアドル,1000
34,Egypt,エジプト,1000
35,Estonia,エストニア,1000
36,Ethiopia,エチオピア,1000
37,Eritrea,エリトリア,1000
38,El Salvador,エルサルバドル,1000
39,Australia,オーストラリア,1000
40,Austria,オーストリア,1000
41,Orlando Islands,オーランド諸島,1000
42,Oman,オマーン,1000
43,Netherlands,オランダ,1000
44,Ghana,ガーナ,1000
45,Cape Verde,カーボベルデ,1000
46,Guernsey,ガーンジー,1000
47,Guyana,ガイアナ,1000
48,Kazakhstan,カザフスタン,1000
49,Qatar,カタール,1000
50,United States Minor Outlying Islands,合衆国領有小離島,1000
51,Canada,カナダ,1000
52,Gabon,ガボン,1000
53,Cameroon,カメルーン,1000
54,Gambia,ガンビア,1000
55,Cambodia,カンボジア,1000
56,Northern Mariana Islands,北マリアナ諸島,1000
57,Guinea,ギニア,1000
58,Guinea-Bissau,ギニアビサウ,1000
59,Cyprus,キプロス,1000
60,Cuba,キューバ,1000
61,Curacao (Curacao),キュラソー島（キュラソー）,1000
62,Greece,ギリシャ,1000
63,Kiribati,キリバス,1000
64,Kirghiz,キルギス,1000
65,Guatemala,グアテマラ,1000
66,Guadeloupe,グアドループ,1000
67,Guam,グアム,1000
68,Kuwait,クウェート,1000
69,Cook Islands,クック諸島,1000
70,Greenland,グリーンランド,1000
71,Christmas Island (Australia),クリスマス島 (オーストラリア),1000
72,Georgia,グルジア,1000
73,Grenada,グレナダ,1000
74,Croatia,クロアチア,1000
75,The Cayman Islands,ケイマン諸島,1000
76,Kenya,ケニア,1000
77,Ivory Coast,コートジボワール,1000
78,Cocos Islands (Keeling),ココス諸島（キーリング）,1000
79,Costa Rica,コスタリカ,1000
80,Comoros,コモロ,1000
81,Colombia,コロンビア,1000
82,Republic of Congo,コンゴ共和国,1000
83,Democratic Republic of the Congo,コンゴ民主共和国,1000
84,Saudi Arabia,サウジアラビア,1000
85,South Georgia and the South Sandwich Islands,サウスジョージア・サウスサンドウィッチ諸島,1000
86,Samoa,サモア,1000
87,Sao Tome and Principe,サントメ・プリンシペ,1000
88,Saint Barthelemy (Saint Barthélemy),サン・バルテルミー島（サン・バルテルミー）,1000
89,Zambia,ザンビア,1000
90,Saint Pierre and Miquelon,サンピエール島・ミクロン島,1000
91,San Marino,サンマリノ,1000
92,Saint-Martin (West Indies) (French),サン・マルタン (西インド諸島)（フランス領）,1000
93,Sierra Leone,シエラレオネ,1000
94,Djibouti,ジブチ,1000
95,Gibraltar,ジブラルタル,1000
96,Jersey,ジャージー,1000
97,Jamaica,ジャマイカ,1000
98,Syria (Syrian Arab Republic),シリア（シリア・アラブ共和国）,1000
99,Singapore,シンガポール,1000
100,Sint Maarten (Dutch territory),シント・マールテン（オランダ領）,1000
101,Zimbabwe,ジンバブエ,1000
102,Switzerland,スイス,1000
103,Sweden,スウェーデン,1000
104,Sudan,スーダン,1000
105,Svalbard and Jan Mayen,スヴァールバル諸島およびヤンマイエン島,1000
106,Spain,スペイン,1000
107,Suriname,スリナム,1000
108,Sri Lanka,スリランカ,1000
109,Slovakia,スロバキア,1000
110,Slovenia,スロベニア,1000
111,Swaziland,スワジランド,1000
112,Seychelles,セーシェル,1000
113,Equatorial Guinea,赤道ギニア,1000
114,Senegal,セネガル,1000
115,Serbia,セルビア,1000
116,Saint Kitts and Nevis,セントクリストファー・ネイビス,1000
117,Saint Vincent and the Grenadines,セントビンセントおよびグレナディーン諸島,1000
118,"Saint Helena, Ascension and Tristan da Cunha",セントヘレナ・アセンションおよびトリスタンダクーニャ,1000
119,Saint Lucia,セントルシア,1000
120,Somalia,ソマリア,1000
121,Solomon,ソロモン諸島,1000
122,Turks And Caicos Islands,タークス・カイコス諸島,1000
123,Kingdom of Thailand,タイ王国,1000
124,Republic of Korea,大韓民国,7
125,Taiwan,台湾,1000
126,Tajikistan,タジキスタン,1000
127,Tanzania,タンザニア,1000
128,Czech Republic,チェコ,1000
129,Chad,チャド,1000
130,Central African Republic,中央アフリカ共和国,1000
131,China (People's Republic of China),中国（中華人民共和国）,1000
132,Tunisia,チュニジア,1000
133,Democratic People's Republic of Korea,朝鮮民主主義人民共和国,1000
134,Chile,チリ,1000
135,Tuvalu,ツバル,1000
136,Denmark,デンマーク,1000
137,Germany,ドイツ,5
138,Togo,トーゴ,1000
139,Tokelau,トケラウ,1000
140,dominican republic,ドミニカ共和国,1000
141,Dominica,ドミニカ国,1000
142,Trinidad and Tobago,トリニダード・トバゴ,1000
143,Turkmenistan,トルクメニスタン,1000
144,Turkey,トルコ,1000
145,Tonga,トンガ,1000
146,Nigeria,ナイジェリア,1000
147,Nauru,ナウル,1000
148,Namibia,ナミビア,1000
149,Antarctica,南極,1000
150,Niue,ニウエ,1000
151,Nicaragua,ニカラグア,1000
152,Niger,ニジェール,1000
153,Japan,日本,1
154,Western Sahara,西サハラ,1000
155,New Caledonia,ニューカレドニア,1000
156,new zealand,ニュージーランド,1000
157,Nepal,ネパール,1000
158,Norfolk Island,ノーフォーク島,1000
159,Norway,ノルウェー,1000
160,Heard Island and McDonald Islands,ハード島とマクドナルド諸島,1000
161,Bahrain,バーレーン,1000
162,Haiti,ハイチ,1000
163,Pakistan,パキスタン,1000
164,Vatican City,バチカン市国                                                                                         ,1000
165,Panama,パナマ,1000
166,Vanuatu,バヌアツ,1000
167,Bahamas,バハマ,1000
168,Papua New Guinea,パプアニューギニア,1000
